start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,La información que compartas en este instrumento es anónima y sólo será usada para fines investigativos.,Nombre del Centro de Desarrollo Infantil.,"Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el Centro de Desarrollo Infantil",Ponle un hashtag (#) o un título a tu historia:,La historia que contaste te genera,¿Con qué frecuencia sucede la situación que narraste en la historia? ,"En general, mi experiencia se relaciona con...","En general, mi experiencia se relaciona con.../La apropiación y uso de herramientas tecnológicas.","En general, mi experiencia se relaciona con.../Las formas como están organizadas las rutinas diarias.","En general, mi experiencia se relaciona con.../La vinculación de las familias a las propuestas del Centro de Desarrollo Infantil.","En general, mi experiencia se relaciona con.../Los momentos de alimentación de las niñas y los niños.","En general, mi experiencia se relaciona con.../El desempeño de los docentes y sus prácticas.","En general, mi experiencia se relaciona con.../La disposición intencionada de los espacios y ambientes.","En general, mi experiencia se relaciona con.../La calidad de las interacciones entre los actores.","En general, mi experiencia se relaciona con.../El acompañamiento a las transiciones de las niñas y los niños.","En general, mi experiencia se relaciona con.../La documentación de las experiencias realizadas en el Centro de Desarrollo Infantil.","En general, mi experiencia se relaciona con.../El trabajo colaborativo entre las y los Agentes Educativos.","En general, mi experiencia se relaciona con.../Otro",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál","Mientras escribías la historia, sentiste que","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades manuales: tejer, sembrar, cocinar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Ninguna de las anteriores","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución ","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Trabajo Colaborativo.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Sostenibilidad.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Pensamiento Crítico.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Resolución de problemas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de herramientas tecnológicas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de la Información y Comunicación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Creatividad e Innovación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Vida y Carrera.","De acuerdo con la historia que contaste, cuál fue tu rol como agente educativo/a.",_id,_uuid,_submission_time,_validation_status,_index
2020-11-04T08:48:54.937-05:00,2020-11-04T08:53:49.648-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,Cdi amira de la rosa ADR,"Cada mes me es requerido un listado de los niños que pertenecen al CDI y cada vez que terminó esa lista, digo, que bueno sería conocer a estos niños de forma presencial",#niñosdevueltaacdipresencial,Alegría,Todo el tiempo,La documentación de las experiencias realizadas en el Centro de Desarrollo Infantil.,0,0,0,0,0,0,0,0,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación.,1,0,0,0,1,1,0,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",134944553,49c35f92-712d-4d3f-bafe-b179f90b4053,2020-11-04T13:53:56,,1
2020-11-05T16:49:53.004-05:00,2020-11-05T17:45:04.180-05:00,2020-11-04,Sí,2020-11-05,Atlántico,,Fundación Hogar Azul,"Una niña que siempre fue muy activa y le gustaba explorar los espacios de aprendizaje, siempre se les entregaron experiencias que ayudaron a sus procesos de aprendizaje de manera significativa, ya que en cada espacio de aprendizaje se le presentaba una actividad que la ayudaron a desarrollar sus talentos y capacidades, tanto así que salió a la educación formal y ha demostrado su aprendizaje creativo teniendo reconocimientos de medallas de honor, para este proceso los padres también ayuda a encaminar a la niña a manifestar sus aprendizaje.",La niña creativa,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del Centro de Desarrollo Infantil. La disposición intencionada de los espacios y ambientes. El acompañamiento a las transiciones de las niñas y los niños. La documentación de las experiencias realizadas en el Centro de Desarrollo Infantil.,0,0,1,0,0,1,0,1,1,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Resolución de problemas. Manejo de la Información y Comunicación. Creatividad e Innovación.,0,0,0,1,0,1,1,0,Potenciar el desarrollo de los niños y las niñas.,135324482,aabf9b38-db07-4a52-8ec9-66ffa04987b1,2020-11-05T22:45:17,,2
2020-11-05T17:24:42.783-05:00,2020-11-05T17:36:37.346-05:00,2020-11-04,Sí,2020-11-05,Atlántico,,Niño Jesús corpointeligencia,"Me agrada que todo el personal sea unido, colaboradores en todo lo que se pueda, las coordinadoras son atentas co. Sus maestras y siempre nos brindan su apoyo y aclaran dudas cuando se les pide.",Con amor todo se puede lograr,Motivación,Todo el tiempo,El trabajo colaborativo entre las y los Agentes Educativos.,0,0,0,0,0,0,0,0,0,1,0,Familias y otras personas significativas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Trabajo Colaborativo.,1,0,0,0,0,0,0,0,Potenciar el desarrollo de los niños y las niñas.,135323902,3b277a9d-cb48-418f-a4fc-ec1e85df3179,2020-11-05T22:36:49,,3
2020-11-05T16:25:06.723-05:00,2020-11-05T16:34:21.780-05:00,2020-11-04,Sí,2020-11-05,Atlántico,,CDI NIÑO JESUS GALAN,"Mi nombre es Vanessa Romero, actualmente laboro en el CDI NIÑO JESUS, durante este tiempo laborando bajo otra dinámica debido a lo acontecido a nivel mundial con la pandemia, he logrado crear vinculos afectivos con los niños y niñas beneficiarios del programa, pese a que no nos vemos de forma presencial diariamente. Eso demuestra tambien que las estrategias que uno comp docente cree para establecer relaciones y potencializar las areas del desarrollo de cada infante arrojan como resultado los cambios q tienen los beneficiarios de principio y finalización del.programa.",#puedetransformardesdelavirtualidad,Alegría,Todo el tiempo,La calidad de las interacciones entre los actores.,0,0,0,0,0,0,1,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,1,1,0,1,0,Manejo de herramientas tecnológicas. Creatividad e Innovación.,0,0,0,0,1,0,1,0,Potenciar el desarrollo de los niños y las niñas.,135318676,a84aa242-3b0b-425a-aa05-015daf506f5e,2020-11-05T21:34:34,,4
2020-11-04T08:52:25.361-05:00,2020-11-04T11:40:57.153-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,CDI CARRIZAL FUNDACIÓN FUSIÓN CELESTIAL,"He tenido varias experiencias significativas durante mi carrera docente desde lo positivo hasta lo negativo. pero la satisfacción de compartir y que con el pasar de los años esos niños ya unos adolescentes me recuerden no tiene precio. El verlos temerosos en sus primeros días escolares, después que no se quieran ir y decir que los traiga para mi casa. el hacer sentir confianza y seguros de ellos es lo más grande para ellos y para mí.  APRENDER de ellos cada experiencia enriquece mi labor  de maestra. ""la oración y la música"" son los activadores de la motivación. Cuando empecé a llevar mi altavoz y le colocaba una canción, esos niños me esperaban en la puerta y corrían a recibirme y apenas entraba se organizaban para hacer la oración, después empezar la clase, cuando estaban todos quietos trabajando, de  repente les salía con una actividad rompe hielo que ellos no esperaban, ""caritas, cambiar de puesto, levantarse y alcanzar las estrellas, bailar rock and roll, así se distrían por un momento y no se cansaban de escribir o de la actividad propuesta en el momento.  La  idea era mezclar la lúdica y las actividades cognitivas en busca de su conexión a las nuevas clases. La transición no sólo se da en la primera infancia- preescolar, sino también en el inicio de la secundaria. El acompañamiento es esencial.",#lagrantransicion,Motivación,Todo el tiempo,La apropiación y uso de herramientas tecnológicas. Las formas como están organizadas las rutinas diarias. El desempeño de los docentes y sus prácticas. La disposición intencionada de los espacios y ambientes. La calidad de las interacciones entre los actores. El acompañamiento a las transiciones de las niñas y los niños.,1,1,0,0,1,1,1,1,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,1,1,0,0,0,Trabajo Colaborativo. Sostenibilidad. Pensamiento Crítico. Resolución de problemas. Manejo de herramientas tecnológicas. Manejo de la Información y Comunicación. Creatividad e Innovación.,1,1,1,1,1,1,1,0,Potenciar el desarrollo de los niños y las niñas.,134997816,94e3aa82-b90f-47df-a4ea-cb0b875a98ac,2020-11-04T16:41:08,,5
2020-11-05T15:59:28.786-05:00,2020-11-05T16:04:49.179-05:00,2020-11-04,Sí,2020-11-05,Atlántico,,CDI CARRIZAL INSTITUCIONAL,"La belleza de cumplir la primera etapa de mi sueño , vivir ese momento , luchar por alcanzarlo el dis que me decidí me sentí plena y hoy me siento feliz de ser la maestra de estos hermosos niños",#primerdia,Orgullo,Todo el tiempo,El desempeño de los docentes y sus prácticas.,0,0,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo. Vida y Carrera.,1,0,0,0,0,0,0,1,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,135315080,0fb30e2f-1ff7-4596-8291-b40a5bf16f40,2020-11-05T21:05:01,,6
2020-11-04T08:49:30.251-05:00,2020-11-04T08:53:24.924-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,Cdi la playa adr,Experiencias muy lindas cadia aprendemos más nos retroañimentamos para si obtener más conocimiento,Mi mundo,Motivación,Todo el tiempo,El desempeño de los docentes y sus prácticas.,0,0,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,134944438,9ba16b83-c38e-4baf-ada2-b275922b663c,2020-11-04T13:53:36,,8
2020-11-04T08:44:36.261-05:00,2020-11-04T08:56:34.824-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,CDI Luz 2 ADR,"Una de las experiencias significativa  que puedo contar es la situación que una vez viví con una niña ,pues ella era una niña con conductas desafiantes , le gustaba llamar la atencion y la mayoría de veces desobedecia ordenes  . Un día de tantos intentos decidí tomar una estrategia para poder trabajar y favorecer en ella eso .. utilicé la música como herramienta . Primeramente había observado que le gustaba la música pero que tenía dificultad en atender otros procesos pedagógicos tales como experiencia académica . temiendo en cuenta esto idee una estrategia a través de la música la cual favoreció la motivación en la niña ,ya que primeramente se desarrolló un proceso de atención en ella ,luego iba empalmando otros procesos pedagógicos que en esta edad se requería abarcar para poder llevar un buen Proceso de tránsito",#lamusicaparatrancender,Motivación,Todo el tiempo,Otro,0,0,0,0,0,0,0,0,0,0,1,Niños/niñas,La música como herramienta pedagógica para llevar un proceso de transición armonioso,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,134945697,caf98fec-553b-4403-bd74-c40526026a87,2020-11-04T13:56:46,,9
2020-11-04T08:47:16.011-05:00,2020-11-04T08:57:13.409-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,CDI la playa ADR,"Era una vez cuándo alquilen me dijo que yo no servía para ser maestra que no era dina de estar en un puesto de esto y mucho más yo no le contesté nada a esta persona y me fui para mí casa entre a mi habitación a llorar y le dije a mi Dios que me diera mucho más que lo que tengo para darlo en mi trabajo, me dio de todo un poco y esa persona  se dio cuenta que yo si era dina de ser maestra",Superación,Orgullo,Única vez,El desempeño de los docentes y sus prácticas.,0,0,0,0,1,0,0,0,0,0,0,Agentes educativos,,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.",1,0,0,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",134945915,f6a825dd-453a-475b-b20c-f99aa494a08f,2020-11-04T13:57:18,,10
2020-11-04T08:45:39.706-05:00,2020-11-04T08:57:09.036-05:00,2020-11-03,Sí,2020-11-04,Atlántico,,FUNDACION FUSION CELESTIAL,"EN ESTE AÑO 2020 ALGO SIGNIFICATIVO A PESAR QUE ESTOY POR CONTACTO TELEFONICO CON MIS NIÑOS Y NIÑAS HE CREADO EN ELLOS VINCULOS AFECTIVOS SE EMOSIONAN CUANDO LOS LLAMA, PRACTICAMENTE LES QUTAN EL CELULAR A SUS PADRES PARA HABLAR CONMIGO ME DICEN QUE ME QUIEREN MUCHO Y NO ME CONOCEN FISICAMENTE.",DETRAS DEL TELEFONO,Alegría,Todo el tiempo,El desempeño de los docentes y sus prácticas.,0,0,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Creatividad e Innovación.,0,0,0,0,0,0,1,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,134945933,9b8e572d-d0db-486a-a49c-ecc2b4105d15,2020-11-04T13:57:22,,11
